                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1646,                 1.3376,                 1.3996,                0.62575,                0.49073,                0.54177,                0.31287,                 1.5487,                 2.3113,                 1.9931,                 0.0676,             0.00032727,             0.00032727
                      2,                 1.1572,                 1.0303,                 1.3912,                0.67457,                0.59209,                0.63757,                0.32834,                 1.5103,                 2.1118,                 1.9592,               0.034578,              0.0006386,              0.0006386
                      3,                 1.2372,                 1.0797,                 1.4613,                0.69294,                0.59417,                0.65115,                0.38594,                 1.4248,                 1.4695,                 1.7216,              0.0015338,             0.00092771,             0.00092771
                      4,                 1.2074,                 1.0735,                 1.4367,                0.73871,                0.62917,                0.70826,                 0.3983,                 1.5192,                 1.3343,                 1.7574,             0.00090005,             0.00090005,             0.00090005
                      5,                 1.2243,                 1.0556,                 1.4423,                0.75241,                 0.6267,                0.70573,                0.40876,                 1.4248,                 1.3155,                 1.6903,             0.00090005,             0.00090005,             0.00090005
                      6,                 1.1825,                  1.027,                 1.4339,                0.75718,                 0.6712,                0.74726,                0.44596,                 1.3668,                 1.1705,                 1.6079,             0.00086673,             0.00086673,             0.00086673
                      7,                 1.1605,                0.97962,                 1.4112,                0.72748,                0.73671,                0.77424,                0.46586,                 1.3362,                  1.077,                 1.5555,             0.00083342,             0.00083342,             0.00083342
                      8,                 1.1464,                0.95146,                 1.3964,                0.79851,                0.68109,                0.76367,                0.46719,                 1.3395,                 1.1011,                 1.5855,              0.0008001,              0.0008001,              0.0008001
                      9,                 1.1341,                0.92909,                 1.3777,                0.76286,                0.74289,                 0.7885,                0.48952,                 1.3301,                 1.0046,                  1.581,             0.00076678,             0.00076678,             0.00076678
                     10,                 1.1214,                0.89932,                 1.3603,                0.80001,                0.73053,                0.79815,                0.50323,                 1.3044,                 1.0237,                 1.5409,             0.00073347,             0.00073347,             0.00073347
                     11,                 1.1001,                0.88221,                 1.3459,                0.84298,                0.72311,                0.79976,                0.49173,                 1.2834,                0.94048,                 1.5377,             0.00070015,             0.00070015,             0.00070015
                     12,                  1.088,                0.87224,                 1.3383,                0.82217,                0.73918,                  0.812,                0.51591,                 1.2572,                0.89339,                  1.499,             0.00066683,             0.00066683,             0.00066683
                     13,                 1.0523,                0.84137,                  1.325,                0.85092,                0.77998,                0.84677,                0.53975,                 1.2135,                0.85509,                 1.4505,             0.00063352,             0.00063352,             0.00063352
                     14,                 1.0145,                0.79278,                 1.2965,                0.83097,                   0.79,                 0.8446,                0.54225,                 1.1984,                0.84155,                 1.4569,              0.0006002,              0.0006002,              0.0006002
                     15,                 1.0191,                0.78342,                 1.2998,                0.82449,                0.76143,                0.82421,                0.52215,                 1.2243,                0.85639,                 1.4756,             0.00056688,             0.00056688,             0.00056688
                     16,                 1.0186,                0.78133,                 1.3016,                0.84127,                0.77962,                0.83779,                0.54293,                 1.2194,                0.82622,                 1.4777,             0.00053357,             0.00053357,             0.00053357
                     17,                0.96959,                0.72894,                 1.2757,                0.85153,                 0.7775,                0.85245,                0.54584,                 1.2067,                0.79696,                 1.4777,             0.00050025,             0.00050025,             0.00050025
                     18,                0.98295,                0.72166,                 1.2867,                0.83465,                 0.8047,                0.86826,                0.56566,                  1.165,                0.77612,                 1.4194,             0.00046693,             0.00046693,             0.00046693
                     19,                0.95797,                0.71454,                 1.2586,                0.83725,                0.78216,                0.85611,                0.56278,                 1.1689,                0.79391,                 1.4204,             0.00043362,             0.00043362,             0.00043362
                     20,                 0.9551,                0.69055,                 1.2509,                0.83799,                0.80964,                0.87114,                0.56402,                 1.1618,                0.78464,                 1.4298,              0.0004003,              0.0004003,              0.0004003
                     21,                0.94196,                0.70258,                 1.2561,                 0.8324,                0.79234,                0.83579,                0.54443,                 1.1833,                0.84894,                 1.4449,             0.00036698,             0.00036698,             0.00036698
                     22,                0.92732,                0.60085,                 1.2561,                0.84105,                0.81211,                0.86744,                0.57748,                 1.1366,                  0.732,                 1.3954,             0.00033367,             0.00033367,             0.00033367
                     23,                0.90376,                0.58657,                 1.2181,                0.83045,                0.82818,                0.85929,                0.56367,                 1.1552,                0.73184,                 1.4259,             0.00030035,             0.00030035,             0.00030035
                     24,                0.89297,                0.56313,                  1.217,                0.87437,                0.79728,                0.86608,                0.56876,                 1.1354,                0.72994,                 1.4037,             0.00026703,             0.00026703,             0.00026703
                     25,                0.86854,                0.54372,                  1.199,                0.86408,                0.78986,                0.86209,                0.57519,                 1.1135,                 0.7264,                 1.3831,             0.00023372,             0.00023372,             0.00023372
                     26,                0.82881,                0.52437,                 1.1916,                0.84234,                  0.822,                0.87319,                0.58473,                 1.1295,                0.70347,                 1.3994,              0.0002004,              0.0002004,              0.0002004
                     27,                 0.8168,                0.49706,                 1.1629,                0.84579,                0.81352,                0.87453,                0.59399,                 1.1166,                0.70241,                 1.3885,             0.00016708,             0.00016708,             0.00016708
                     28,                0.81026,                0.48758,                 1.1525,                0.85893,                0.83313,                0.88313,                0.59787,                 1.1091,                0.67674,                 1.3834,             0.00013377,             0.00013377,             0.00013377
                     29,                0.78413,                0.46543,                 1.1473,                0.84951,                0.82337,                0.87815,                0.60181,                 1.1059,                0.67879,                 1.3847,             0.00010045,             0.00010045,             0.00010045
                     30,                0.78642,                 0.4479,                 1.1435,                0.86115,                 0.8356,                0.88596,                0.60258,                 1.1066,                0.66437,                 1.3864,             6.7133e-05,             6.7133e-05,             6.7133e-05
